receiver_address,usdc_received
0x1A548Deb4f6b9fBC34edDEB678aC54BF27a62582,310.0
0xDE9CdE13EaBDF7655737150D5bfc0FF9EF6402e1,309.0
0x63526F05d9237DA102bce72960e13Ac4F2A3c3A9,301.0
0x592513aF54fFb32cbA12f98fFdDF1bf6Ca22Cd17,300.0
0x9be2D334466917496860CbF5fdD8373C5F821Add,300.0
0xB282fA880581e3137202123C326d5Ef2913DE363,300.0
0x52931DDE95617607B2fE3a6b451D91629E3bD0BD,300.0
0xc8184c4f0d5182aDA8e68D002af6CD57369bAeBD,295.0
0x12CF9C08FAb2cD787B0e4819493b9d2f717ED384,295.0
0x055b2D2FCF931C77f7D1ba6820CA4C0cD69021F8,295.0
0x7A8905484a843e8b945eF3147d129278553B92E4,295.0
0x3c160152C0E419FC7118D1D8e79f2b7a0E1E4c01,292.0
0x46F25AC4dd7612E77374F9902187d59DE454BC33,292.0
0x9f406D199844C8a421896D8E365e103Ba13506aE,290.0
0xfD0309aA3E0891b0bF83D9441Aaf34AC45d753CB,285.0
0x282aB3e4B5cdDD44bbA794f070A37Cc276aeF9a8,285.0
0xB782c71879f1e0c82d455c6cAD21618f938054ae,285.0
0x952833b7d045BF1Aff1328a6aaaEeAD58B0CD678,281.0
0x797cEA1e203C5672815985D96Fe667A3e79852ad,280.0
0xc0826Fd02f7507741B5E03D83AE82c21A3102c47,280.0
0x8365A34E0A9faC60c09783132C930cdD1B9b411b,280.0
0x1d634393157B459d1eE976921739599D2E272525,280.0
0x07142E14a5F8aEdD034C2Cb20Ed3Ff9b453bF3fE,275.0
0x42C60436f3587B7A1877c2D6276aE480590Af532,275.0
0xBCB46F4ffd0E5E72505d4e2899d437E506C2238d,270.0
0xBE6EB5257d20c87da749C21CCbd11Af86e685505,270.0
0x2eD95eb6F2Df2cb2C9d46b02F32148cA50dA2646,270.0
0x1547Ee9f1A94C8949894164A95392c5560563670,270.0
0x1F25268b5c19c5968999324B52907B085192CA4D,265.0
0xD2FDEDADB82DFFA8222C0cc880E32C940E22C82a,265.0
0x468403287A538D6Ae0761D951a26dFcE48C5BaA8,262.0
0x8925dc73b276097E59bE4226f9a2ea117E81944A,261.0
0x5996E8bc524189bAA2661b1655EfBed827244422,260.0
0x0B88Ff8cD9977De4251AE86d58dA8086D34f42cd,260.0
0x741298f141708140b75Cf6b5295a2adcd6431fb3,259.0
0xA66dF56F832e15683A4dF8fEbd57a7A27DF3A88A,257.0
0x301743C30Ab2842091BB4eB32D1Ce6de2098ABd7,257.0
0x1b098f9a2FfB483810A5ff46afE6c9Fb07860272,255.0
0xf985602dcE006621cAA7daDe231C411064dB4a9e,255.0
0xF7642D8EE38f39A207c2fC8Aedeb02C4cD52aBb3,255.0
0xc6D297aC3836604B96546Dd94B0d24cBba15C70d,254.0
0xeed6f9C113390C206d34A060E1E844484A26E58f,253.0
0xFfdc408d94Ae3eA3fDa407f9F09664ea4e660717,252.0
0x2d33e265f23e4a5Eaaed3f3f045d9E22041be738,252.0
0x60bCB199ea6c4e86FbDF73B9726F9957CA869757,250.0
0x9c29957D3957c24076B0d8fd94ff281EB5d5EB5A,250.0
0xc199ec276c0F3419D00FdEbFAdc7A2BCdDCe68bE,245.0
0xbbCc21C2295f832f3f41E28C3D7b6d29FC107c41,245.0
0x780AF3a6835b13d6580D42D5a46d227434FAb7e5,240.0
0x8469e23D6Ed617675E7C33AA264cC3d2371400D5,240.0
0x33dEAFA3dfE3F1Ea7EeF8BD1382d351125BC868e,235.0
0x55309174bBB7D336AA7E8808edf3f32b1C35056A,235.0
0x3f0DcbcbFaC331C82C7e474C773258f78D651ada,235.0
0x3D349677f00323FdD9d1570997AC4b738FD4E8aC,230.0
0xB4128ff4683e1a4A1b6b5f956A006ED309dCF455,230.0
0xb69a3775A4118F6dDE2C55BCa0925380f8688d13,230.0
0x64741327ACdad58BCe87951b280BF44a3FA4eFEA,225.0
0x2C69285DC21233fD3FA2171511C9a7636B9Dac8F,222.0
0x1DC083E76b7CAaf33aB9687BD89b179DB1b76f51,221.0
0x9d7e49c3AbeBCCa3456867e9762F31B8f0D21b8a,220.0
0x417204Cce428153D7796eCCc9f34bb500bFBe21B,220.0
0x8Dab793439E99D745A7821a9b33d70a351561919,220.0
0x9861cf5652310998402Bd519ce8A5d9C5093c653,220.0
0x9EE8a86650cE6e9906dA1d8B701F404Ee0D4F7Bf,215.0
0xD280d0A6977a293e1A00C724858dCd97b95Ac631,215.0
0x6cC7c22b5dE891216263c65A29ac1BBc1b01f61c,215.0
0xE2Aa7e4A8d602caf49D3d8Ef22eaCEd6188a7231,215.0
0x35B88Fca014bC1A5509ab9aFeF598D9709beb91A,215.0
0x45591fB7276156853e232b67bACB84FdD0AA0f76,214.0
0xE471D20C3EC58209c4312f0b4b93d25247FFA3Bd,212.0
0x7A336eD042D2bCD2bDA6699C52B8b1A150Ee0243,210.0
0x502AA9995e8a6848148AD1cd665e0fe6416c634a,210.0
0xC988844B76a36741A0FE216d5408A213C25685a2,210.0
0x7ee78F8bc6e9BB31ef83a6ea6309e22dd3B7b13F,207.0
0x1256C45Ffe60aF0526D9ff16F04882354343D090,207.0
0xE488CD43a60edc77CEe95E97Aa07c46dbef671Eb,206.0
0x34f15b0a36d5d5FB14a69c2A23a4308ac5Ce44Fe,205.0
0x2D72E15e4734e3d2ff4973b155A259f96325D4E2,205.0
0xF2d2E12444B857c254904a66B09d6C90f2Bb87Ad,205.0
0x9c32eF7E212A6fF1Fc3156864D43934E546Fc3d0,205.0
0xcAD39E3316b8443b246BF532A4e5d8e397C82632,204.0
0xcb75a507854484C170D5FC0743da7860FA9D4839,203.0
0x2394b57282364e866aB2A6be43dE68eD8BAe9B02,200.0
0xeD256F5B2450Be23c37Bdda4fb41Ced069073bB9,200.0
0xaEd3907446357551bb01b0a16b93F1aFF1C172B4,200.0
0x236b4D222147D79E388f3e61B3f253DaB20d719b,200.0
0xC523c6628eE83dFD0ba9c4D0B9b676d3EF8e6A59,200.0
0x4eBC0cfCF445eDA0755e45FA0018C9Cf09AE133b,197.0
0x99C73A59304A85b05bf898c7e3DBF2e6268c0Cf6,195.0
0x417a6e07A86ABa120bf51Ae7eE00B97A7c51e240,195.0
0xAe4a01f8567f82A6eC341ec3db4C8e99Fea09131,195.0
0xFBd459F7a3880A6359A0e9b6CA63e4096d67aaB0,195.0
0xB3dF71f7a0A7Cec09a0b3AeB78b598a1e04e41C5,195.0
0x5d3Da002DaC776cAC777eAaa5EA3811E16966261,195.0
0x9E1888F8c4AaA2D509466770Ec7D7D18eF4Ef5a7,194.0
0xC0555D6FaD36D40116E0841AeA36Bb3E0f21c7eC,192.0
0x5F7aD27c25813Ab9C8b2926DFc246B83Ae1f1788,191.0
0xe2efDE6d6eFA5632B738ac825fFA22322896C1A4,191.0
0xE4990BCDc7A020AbD7D583bf1EeA546d8cd73cCd,190.0
0x020F0913D2BB8DfCF69b0C9f594C7d0284b5Ef5f,190.0
0xaf9077EBDaA56ba93f8C9C54c0A061Baf2062f3E,189.0
0x0a9DEFb7c0Ed8cA73dc6d4266CE50D63Afe088BA,187.0
0x451A9Ef69007aaCf388f53860D96870939113AA7,187.0
0xD052986D46950ec2b57387Db4d7867D459Ef2751,185.0
0xE7024D280D819D4B83bf1248f68a76Bd0428313f,185.0
0x85bf69B01374Af65c34b3603Ac115678531e9646,185.0
0x6d11eAA15976A7df7f16ec991F0823237D235208,185.0
0xD4A05b826968e52aed67764e71b1Ad7B7ea38417,185.0
0x783A9b962b04a082F8f28f4349A1dB95109477b9,184.0
0xd5aff5436f7B68299D91C9773C18B2Aa1f2D140e,182.0
0x8e75371B1DCfBd994E0370B9e413d6Ec8b8a2EC8,182.0
0x21dBb9d338dFBe45Eb970b21005bdAcC30AA3c24,182.0
0x6A13De339F9a1EA831c7669d0E88c30D44Fe08a0,182.0
0x3F999c5E4a32846Ac3bE39Dd1B69F10307F704D3,181.0
0xC62f573A84aF5e0c23F84592ad56bA008e128582,180.0
